"Journal","ISSN","EISSN","Web of Science","IF(2025)","IF(2024)","IF变化","JCR分区(学科)","中科院大类","中科院大类分区","Top期刊","中科院小类分区"
"IRANIAN JOURNAL OF FISHERIES SCIENCES","1562-2916","1562-2916","SCIE","0.8","0.6","0.2","Q4@FISHERIES","农林科学","4 [700/904]","","4 [52/61]@FISHERIES 渔业"
"Journal of Correctional Health Care","1078-3458","1940-5200","SSCI","0.8","0.7","0.1","Q4@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","医学","4 [3991/5603]","","4 [317/404]@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH 公共卫生、环境卫生与职业卫生"
"Metroeconomica","0026-1386","1467-999X","SSCI","0.8","0.9","-0.1","Q3@ECONOMICS","经济学","3 [277/765]","","4 [252/599]@ECONOMICS 经济学"
"Monaldi Archives for Chest Disease","1122-0643","2532-5264","ESCI","0.8","0.8","0.0","Q4@RESPIRATORY SYSTEM","医学","4 [4576/5603]","","4 [86/101]@RESPIRATORY SYSTEM 呼吸系统"
"Psi Chi Journal of Psychological Research","2164-8204","2325-7342","ESCI","0.8","0.5","0.3","Q4@PSYCHOLOGY, MULTIDISCIPLINARY","","","",""
"PSYCHOLOGIE IN ERZIEHUNG UND UNTERRICHT","0342-183X","0342-183X","SSCI","0.8","0.3","0.5","Q4@PSYCHOLOGY, EDUCATIONAL","心理学","4 [618/657]","","4 [74/74]@PSYCHOLOGY, EDUCATIONAL 心理学：教育"
"Thoracic Research and Practice","N/A","2979-9139","ESCI","0.8","71.5","-70.7","Q4@RESPIRATORY SYSTEM","医学","4 [4758/5603]","","4 [91/101]@RESPIRATORY SYSTEM 呼吸系统"
"ACM Transactions on Computation Theory","1942-3454","1942-3462","ESCI","0.8","0.8","0.0","Q4@COMPUTER SCIENCE, THEORY & METHODS","计算机科学","4 [320/758]","","3 [58/143]@COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法"
"BOLETIM DO INSTITUTO DE PESCA","0046-9939","1678-2305","SCIE","0.8","0.6","0.2","Q4@FISHERIES | Q3@ZOOLOGY","农林科学","4 [776/904]","","4 [57/61]@FISHERIES 渔业 | 4 [174/179]@ZOOLOGY 动物学"
"CIENCIA RURAL","0103-8478","1678-4596","SCIE","0.8","0.9","-0.1","Q4@AGRONOMY","农林科学","4 [682/904]","","4 [89/127]@AGRONOMY 农艺学"
"International Journal of Economic Theory","1742-7355","1742-7363","SSCI","0.8","0.7","0.1","Q3@ECONOMICS","经济学","4 [560/765]","","4 [456/599]@ECONOMICS 经济学"
"International Journal of Fuzzy Logic and Intelligent Systems","1598-2645","2093-744X","ESCI","0.8","1.2","-0.4","Q4@COMPUTER SCIENCE, THEORY & METHODS","计算机科学","4 [494/758]","","4 [106/143]@COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法"
"International Journal of Wavelets Multiresolution and Information Processing","0219-6913","1793-690X","SCIE","0.8","0.8","0.0","Q4@COMPUTER SCIENCE, SOFTWARE ENGINEERING | Q4@MATHEMATICS, INTERDISCIPLINARY APPLICATIONS","计算机科学","4 [517/758]","","4 [102/131]@COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程 | 4 [106/136]@MATHEMATICS, INTERDISCIPLINARY APPLICATIONS 数学跨学科应用"
"ISRAEL MEDICAL ASSOCIATION JOURNAL","1565-1088","1565-1088","SCIE","0.8","1.3","-0.5","Q3@MEDICINE, GENERAL & INTERNAL","医学","4 [4270/5603]","","4 [164/327]@MEDICINE, GENERAL & INTERNAL 医学：内科"
"Journal of Applied Science and Engineering","2708-9967","2708-9975","ESCI","0.8","0.8","0.0","Q3@ENGINEERING, MULTIDISCIPLINARY","工程技术","4 [1074/1437]","","4 [110/179]@ENGINEERING, MULTIDISCIPLINARY 工程：综合"
"Journal of Cultural Geography","0887-3631","1940-6320","ESCI","0.8","0.9","-0.1","Q3@GEOGRAPHY","社会学","4 [1003/2039]","","4 [85/171]@GEOGRAPHY 地理学"
"Journal of Korea Trade","N/A","1229-828X","SSCI","0.8","71.5","-70.7","Q3@ECONOMICS","经济学","4 [707/765]","","4 [562/599]@ECONOMICS 经济学"
"Journal of Military Veteran and Family Health","N/A","2368-7924","ESCI","0.8","71.5","-70.7","Q4@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","医学","4 [4687/5603]","","4 [361/404]@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH 公共卫生、环境卫生与职业卫生"
"NATURAL AREAS JOURNAL","0885-8608","2162-4399","SCIE","0.8","0.8","0.0","Q4@ECOLOGY | Q4@FORESTRY","环境科学与生态学","4 [377/504]","","4 [159/196]@ECOLOGY 生态学 | 4 [55/89]@FORESTRY 林学"
"Polish Journal of Medical Physics and Engineering","1898-0309","1898-0309","ESCI","0.8","0.8","0.0","Q4@RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","医学","4 [4729/5603]","","4 [182/206]@RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING 核医学"
"RADIATION PROTECTION DOSIMETRY","0144-8420","1742-3406","SCIE","0.8","0.7","0.1","Q4@ENVIRONMENTAL SCIENCES | Q4@NUCLEAR SCIENCE & TECHNOLOGY | Q4@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH | Q4@RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","环境科学与生态学","4 [341/504]","","4 [267/357]@ENVIRONMENTAL SCIENCES 环境科学 | 4 [28/41]@NUCLEAR SCIENCE & TECHNOLOGY 核科学技术 | 4 [319/404]@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH 公共卫生、环境卫生与职业卫生 | 4 [153/206]@RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING 核医学"
"SOCAR Proceedings","2218-6867","2218-8622","ESCI","0.8","0.5","0.3","Q3@ENGINEERING, PETROLEUM","工程技术","4 [1390/1437]","","4 [23/24]@ENGINEERING, PETROLEUM 工程：石油"
"SOCIAL RESEARCH","0037-783X","0037-783X","SSCI","0.8","0.6","0.2","Q3@SOCIAL SCIENCES, INTERDISCIPLINARY","社会学","4 [936/2039]","","4 [119/263]@SOCIAL SCIENCES, INTERDISCIPLINARY 社会科学：跨领域"
"Terapia Psicologica","0718-4808","0718-4808","SSCI","0.8","0.8","0.0","Q4@PSYCHOLOGY, CLINICAL","心理学","4 [565/657]","","4 [156/179]@PSYCHOLOGY, CLINICAL 心理学：临床"
"Aerospace Medicine and Human Performance","2375-6314","2375-6322","SCIE","0.8","0.9","-0.1","Q4@BIOPHYSICS | Q4@MEDICINE, RESEARCH & EXPERIMENTAL | Q4@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","医学","4 [4536/5603]","","4 [66/76]@BIOPHYSICS 生物物理 | 4 [154/188]@MEDICINE, RESEARCH & EXPERIMENTAL 医学：研究与实验 | 4 [352/404]@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH 公共卫生、环境卫生与职业卫生"
"DESIGN AUTOMATION FOR EMBEDDED SYSTEMS","0929-5585","1572-8080","SCIE","0.8","0.9","-0.1","Q4@COMPUTER SCIENCE, HARDWARE & ARCHITECTURE | Q4@COMPUTER SCIENCE, SOFTWARE ENGINEERING","计算机科学","4 [401/758]","","4 [38/58]@COMPUTER SCIENCE, HARDWARE & ARCHITECTURE 计算机：硬件 | 4 [84/131]@COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程"
"GeoScape","1802-1115","1802-1115","ESCI","0.8","0.6","0.2","Q3@GEOGRAPHY","社会学","4 [1629/2039]","","4 [119/171]@GEOGRAPHY 地理学"
"Hellenic Journal of Nuclear Medicine","1108-1430","1790-5427","SCIE","0.8","1","-0.2","Q4@RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","医学","4 [4827/5603]","","4 [188/206]@RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING 核医学"
"International Journal of Modeling Simulation and Scientific Computing","1793-9623","1793-9615","ESCI","0.8","1","-0.2","Q4@COMPUTER SCIENCE, THEORY & METHODS","计算机科学","4 [647/758]","","4 [132/143]@COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法"
"International Journal of the Inclusive Museum","1835-2014","1835-2022","ESCI","0.8","0.4","0.4","Q4@HOSPITALITY, LEISURE, SPORT & TOURISM | Q3@SOCIAL SCIENCES, INTERDISCIPLINARY","社会学","4 [961/2039]","","4 [87/139]@HOSPITALITY, LEISURE, SPORT & TOURISM 酒店、休闲、体育与旅游 | 4 [122/263]@SOCIAL SCIENCES, INTERDISCIPLINARY 社会科学：跨领域"
"Journal of Plant Registrations","1936-5209","1940-3496","SCIE","0.8","0.7","0.1","Q4@AGRONOMY | Q4@PLANT SCIENCES","农林科学","4 [705/904]","","4 [93/127]@AGRONOMY 农艺学 | 4 [243/265]@PLANT SCIENCES 植物科学"
"JOURNAL OF THE CANADIAN DENTAL ASSOCIATION","1488-2159","1488-2159","SCIE","0.8","0.4","0.4","Q4@DENTISTRY, ORAL SURGERY & MEDICINE","医学","4 [4481/5603]","","4 [124/157]@DENTISTRY, ORAL SURGERY & MEDICINE 牙科与口腔外科"
"Kastamonu University Journal of Forestry Faculty","1303-2399","1309-4181","ESCI","0.8","0.6","0.2","Q4@FORESTRY","农林科学","4 [673/904]","","4 [64/89]@FORESTRY 林学"
"Malaysian Journal of Computer Science","0127-9084","0127-9084","SCIE","0.8","1.2","-0.4","Q4@COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE | Q4@COMPUTER SCIENCE, THEORY & METHODS","计算机科学","4 [633/758]","","4 [177/196]@COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能 | 4 [128/143]@COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法"
"Mini-invasive Surgery","N/A","2574-1225","ESCI","0.8","71.5","-70.7","Q4@SURGERY","","","",""
"PSYCHOTHERAPIE PSYCHOSOMATIK MEDIZINISCHE PSYCHOLOGIE","0937-2032","1439-1058","SSCI","0.8","0.8","0.0","Q4@PSYCHOLOGY, CLINICAL","心理学","4 [586/657]","","4 [166/179]@PSYCHOLOGY, CLINICAL 心理学：临床"
"Recerca-Revista de Pensament & Analisi","1130-6149","2254-4135","ESCI","0.8","0.4","0.4","N/A@PHILOSOPHY","哲学","4 [783/795]","","4 [326/328]@PHILOSOPHY 哲学"
"Revista Cientifica General Jose Maria Cordova","1900-6586","2500-7645","ESCI","0.8","0.5","0.3","Q3@EDUCATION & EDUCATIONAL RESEARCH | Q3@INTERNATIONAL RELATIONS | Q3@POLITICAL SCIENCE | Q3@SOCIAL SCIENCES, INTERDISCIPLINARY","","","",""
"Romanian Agricultural Research","1222-4227","N/A","SCIE","0.8","1","-0.2","Q4@AGRONOMY","农林科学","4 [692/904]","","4 [91/127]@AGRONOMY 农艺学"
"SAE International Journal of Engines","1946-3936","1946-3944","ESCI","0.8","1.2","-0.4","Q4@TRANSPORTATION SCIENCE & TECHNOLOGY","工程技术","4 [1005/1437]","","4 [57/71]@TRANSPORTATION SCIENCE & TECHNOLOGY 运输科技"
"SOUTH AFRICAN JOURNAL OF ANIMAL SCIENCE","0375-1589","2221-4062","SCIE","0.8","0.6","0.2","Q4@AGRICULTURE, DAIRY & ANIMAL SCIENCE","农林科学","4 [648/904]","","4 [58/80]@AGRICULTURE, DAIRY & ANIMAL SCIENCE 奶制品与动物科学"
"Archives of Biological Sciences","0354-4664","1821-4339","SCIE","0.8","0.8","0.0","Q4@BIOLOGY","生物学","4 [1034/1091]","","4 [101/109]@BIOLOGY 生物学"
"Convergencia-Revista de Ciencias Sociales","2448-5799","2448-5799","SSCI","0.8","0.6","0.2","Q3@SOCIOLOGY","社会学","4 [1819/2039]","","4 [208/216]@SOCIOLOGY 社会学"
"Eurasian Journal of Mathematical and Computer Applications","2306-6172","2308-9822","ESCI","0.8","0.4","0.4","Q4@MATHEMATICS, INTERDISCIPLINARY APPLICATIONS","数学","4 [784/815]","","4 [128/136]@MATHEMATICS, INTERDISCIPLINARY APPLICATIONS 数学跨学科应用"
"International Nano Letters","2008-9295","2228-5326","ESCI","0.8","4","-3.2","Q4@NANOSCIENCE & NANOTECHNOLOGY","材料科学","4 [281/495]","","4 [100/139]@NANOSCIENCE & NANOTECHNOLOGY 纳米科技"
"Italian Journal of Linguistics","1120-2726","1120-2726","ESCI","0.8","0.4","0.4","Q3@LINGUISTICS","文学","3 [337/1193]","","4 [172/294]@LINGUISTICS 语言学"
"JAPANESE JOURNAL OF VETERINARY RESEARCH","0047-1917","0047-1917","SCIE","0.8","0.3","0.5","Q3@VETERINARY SCIENCES","农林科学","4 [735/904]","","4 [140/167]@VETERINARY SCIENCES 兽医学"
"Journal of Himalayan Earth Sciences","1994-3237","2305-6959","ESCI","0.8","0.4","0.4","Q3@GEOLOGY","地球科学","4 [568/575]","","4 [60/61]@GEOLOGY 地质学"
"Journal of Learning and Teaching in Digital Age","N/A","2458-8350","ESCI","0.8","71.5","-70.7","Q4@COMPUTER SCIENCE, INFORMATION SYSTEMS | Q3@EDUCATION & EDUCATIONAL RESEARCH","","","",""
"JOURNAL OF SCIENTIFIC & INDUSTRIAL RESEARCH","0022-4456","0975-1084","SCIE","0.8","0.8","0.0","Q3@ENGINEERING, MULTIDISCIPLINARY","工程技术","4 [1139/1437]","","4 [116/179]@ENGINEERING, MULTIDISCIPLINARY 工程：综合"
"JOURNAL OF THE PROFESSIONAL ASSOCIATION FOR CACTUS DEVELOPMENT","1938-663X","1938-6648","SCIE","0.8","0.8","0.0","Q4@HORTICULTURE","农林科学","4 [835/904]","","4 [36/38]@HORTICULTURE 园艺"
"NEW ZEALAND ENTOMOLOGIST","0077-9962","1179-3430","SCIE","0.8","0.4","0.4","Q3@ENTOMOLOGY","农林科学","4 [562/904]","","4 [81/109]@ENTOMOLOGY 昆虫学"
"Prague Economic Papers","1210-0455","2336-730X","SSCI","0.8","1","-0.2","Q3@ECONOMICS","经济学","4 [603/765]","","4 [491/599]@ECONOMICS 经济学"
"Regulatory Mechanisms in Biosystems","2519-8521","2520-2588","ESCI","0.8","0.5","0.3","Q4@BIOLOGY","生物学","4 [1025/1091]","","4 [97/109]@BIOLOGY 生物学"
"SAE International Journal of Connected and Automated Vehicles","2574-0741","2574-075X","ESCI","0.8","0.9","-0.1","Q4@TRANSPORTATION SCIENCE & TECHNOLOGY","","","",""
"SCHMERZ","0932-433X","1432-2129","SCIE","0.8","0.6","0.2","Q4@ANESTHESIOLOGY | Q4@CLINICAL NEUROLOGY","医学","4 [4581/5603]","","4 [49/64]@ANESTHESIOLOGY 麻醉学 | 4 [248/278]@CLINICAL NEUROLOGY 临床神经病学"
"Tekstil ve Konfeksiyon","1300-3356","1300-3356","SCIE","0.8","0.7","0.1","Q4@MATERIALS SCIENCE, TEXTILES","工程技术","4 [1015/1437]","","4 [19/30]@MATERIALS SCIENCE, TEXTILES 材料科学：纺织"
"WFUMB Ultrasound Open","N/A","2949-6683","ESCI","0.8","71.5","-70.7","Q4@RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","","","",""
"ADANSONIA","1280-8571","1639-4798","SCIE","0.8","0.6","0.2","Q4@PLANT SCIENCES","生物学","4 [683/1091]","","4 [153/265]@PLANT SCIENCES 植物科学"
"Current Pulmonology Reports","N/A","2199-2428","ESCI","0.8","71.5","-70.7","Q4@RESPIRATORY SYSTEM","医学","4 [4526/5603]","","4 [85/101]@RESPIRATORY SYSTEM 呼吸系统"
"Indian Journal of Occupational and Environmental Medicine","0973-2284","1998-3670","ESCI","0.8","","","Q4@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","医学","4 [4872/5603]","","4 [370/404]@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH 公共卫生、环境卫生与职业卫生"
"Interdisciplinary Journal of Problem-Based Learning","1541-5015","1541-5015","ESCI","0.8","0.4","0.4","Q3@EDUCATION & EDUCATIONAL RESEARCH","教育学","4 [580/840]","","4 [531/754]@EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究"
"JOURNAL OF APPLIED BOTANY AND FOOD QUALITY","1439-040X","1439-040X","SCIE","0.8","0.7","0.1","Q4@PLANT SCIENCES","生物学","4 [874/1091]","","4 [206/265]@PLANT SCIENCES 植物科学"
"Journal of Central European Agriculture","1332-9049","1332-9049","ESCI","0.8","0.7","0.1","Q4@AGRICULTURE, DAIRY & ANIMAL SCIENCE","农林科学","4 [725/904]","","4 [62/80]@AGRICULTURE, DAIRY & ANIMAL SCIENCE 奶制品与动物科学"
"JOURNAL OF CONSUMER HEALTH ON THE INTERNET","1539-8285","1539-8293","ESCI","0.8","0.7","0.1","Q4@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","医学","4 [5026/5603]","","4 [379/404]@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH 公共卫生、环境卫生与职业卫生"
"Journal of Neurological Surgery Reports","2193-6358","2193-6366","ESCI","0.8","0.7","0.1","Q4@CLINICAL NEUROLOGY","医学","4 [4303/5603]","","4 [233/278]@CLINICAL NEUROLOGY 临床神经病学"
"LHB-Hydroscience Journal","N/A","2767-8490","SCIE","0.8","71.5","-70.7","Q4@WATER RESOURCES","地球科学","4 [527/575]","","4 [113/124]@WATER RESOURCES 水资源"
"Malaysian Journal of ELT Research","1511-8002","1511-8002","ESCI","0.8","0.2","0.6","Q3@EDUCATION & EDUCATIONAL RESEARCH","教育学","4 [720/840]","","4 [651/754]@EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究"
"Molecular Syndromology","1661-8769","1661-8777","SCIE","0.8","0.9","-0.1","Q4@GENETICS & HEREDITY","医学","4 [4559/5603]","","4 [173/190]@GENETICS & HEREDITY 遗传学"
"PHARMACEUTICAL CHEMISTRY JOURNAL","0091-150X","1573-9031","SCIE","0.8","1","-0.2","Q4@CHEMISTRY, MEDICINAL | Q4@PHARMACOLOGY & PHARMACY","医学","4 [5031/5603]","","4 [70/72]@CHEMISTRY, MEDICINAL 药物化学 | 4 [320/350]@PHARMACOLOGY & PHARMACY 药学"
"Photonics Letters of Poland","2080-2242","2080-2242","ESCI","0.8","0.8","0.0","Q4@OPTICS","物理与天体物理","4 [374/406]","","4 [113/119]@OPTICS 光学"
"RUSSIAN JOURNAL OF ORGANIC CHEMISTRY","1070-4280","1608-3393","SCIE","0.8","0.9","-0.1","Q4@CHEMISTRY, ORGANIC","化学","4 [382/490]","","4 [47/57]@CHEMISTRY, ORGANIC 有机化学"
"Ship Technology Research","0937-7255","2056-7111","ESCI","0.8","0.9","-0.1","Q4@ENGINEERING, MARINE","工程技术","4 [714/1437]","","4 [13/26]@ENGINEERING, MARINE 工程：海洋"
"STRENGTH OF MATERIALS","0039-2316","1573-9325","SCIE","0.8","0.9","-0.1","Q4@MATERIALS SCIENCE, CHARACTERIZATION & TESTING","材料科学","4 [384/495]","","4 [30/38]@MATERIALS SCIENCE, CHARACTERIZATION & TESTING 材料科学：表征与测试"
"Boletin Latinoamericano y del Caribe de Plantas Medicinales y Aromaticas","0717-7917","0717-7917","SCIE","0.8","0.7","0.1","Q4@INTEGRATIVE & COMPLEMENTARY MEDICINE | Q4@PHARMACOLOGY & PHARMACY","医学","4 [4933/5603]","","4 [35/43]@INTEGRATIVE & COMPLEMENTARY MEDICINE 全科医学与补充医学 | 4 [312/350]@PHARMACOLOGY & PHARMACY 药学"
"Case Reports in Infectious Diseases","2090-6625","2090-6633","ESCI","0.8","0.8","0.0","Q4@INFECTIOUS DISEASES","医学","4 [4442/5603]","","4 [118/134]@INFECTIOUS DISEASES 传染病学"
"Civil Szemle","1786-3341","1786-3341","SSCI","0.8","0.4","0.4","Q3@PUBLIC ADMINISTRATION","管理学","4 [854/1025]","","4 [83/91]@PUBLIC ADMINISTRATION 公共管理"
"CURRENT HIV RESEARCH","1570-162X","1873-4251","SCIE","0.8","1","-0.2","Q4@IMMUNOLOGY | Q4@INFECTIOUS DISEASES | Q4@VIROLOGY","医学","4 [4802/5603]","","4 [171/179]@IMMUNOLOGY 免疫学 | 4 [122/134]@INFECTIOUS DISEASES 传染病学 | 4 [40/41]@VIROLOGY 病毒学"
"Current Traditional Medicine","2215-0838","2215-0846","ESCI","0.8","0.9","-0.1","Q4@INTEGRATIVE & COMPLEMENTARY MEDICINE","医学","4 [5557/5603]","","4 [41/43]@INTEGRATIVE & COMPLEMENTARY MEDICINE 全科医学与补充医学"
"Decision Science Letters","1929-5804","1929-5812","ESCI","0.8","1.1","-0.3","Q4@OPERATIONS RESEARCH & MANAGEMENT SCIENCE","管理学","4 [761/1025]","","4 [93/106]@OPERATIONS RESEARCH & MANAGEMENT SCIENCE 运筹学与管理科学"
"EURE-REVISTA LATINOAMERICANA DE ESTUDIOS URBANO REGIONALES","0250-7161","0717-6236","SSCI","0.8","1.1","-0.3","Q4@URBAN STUDIES","经济学","4 [538/765]","","4 [57/77]@URBAN STUDIES 城市研究"
"Exploration Geophysics","0812-3985","1834-7533","SCIE","0.8","0.8","0.0","Q4@GEOCHEMISTRY & GEOPHYSICS","地球科学","4 [481/575]","","4 [85/99]@GEOCHEMISTRY & GEOPHYSICS 地球化学与地球物理"
"IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS","0916-8532","1745-1361","SCIE","0.8","0.8","0.0","Q4@COMPUTER SCIENCE, INFORMATION SYSTEMS | Q4@COMPUTER SCIENCE, SOFTWARE ENGINEERING","计算机科学","4 [659/758]","","4 [214/249]@COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统 | 4 [122/131]@COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程"
"International Journal of Limnology","N/A","2823-1465","SCIE","0.8","71.5","-70.7","Q4@LIMNOLOGY","环境科学与生态学","4 [389/504]","","4 [18/21]@LIMNOLOGY 湖沼学"
"Journal of Asia-Pacific Biodiversity","N/A","2287-9544","ESCI","0.8","71.5","-70.7","Q4@BIODIVERSITY CONSERVATION","环境科学与生态学","4 [357/504]","","4 [55/75]@BIODIVERSITY CONSERVATION 生物多样性保护"
"Journal of Bioinformatics and Computational Biology","0219-7200","1757-6334","SCIE","0.8","0.7","0.1","Q4@MATHEMATICAL & COMPUTATIONAL BIOLOGY","生物学","4 [941/1091]","","4 [63/66]@MATHEMATICAL & COMPUTATIONAL BIOLOGY 数学与计算生物学"
"Journal of Outdoor Recreation Education and Leadership","2381-0696","1948-5123","ESCI","0.8","1.2","-0.4","Q4@HOSPITALITY, LEISURE, SPORT & TOURISM","管理学","4 [754/1025]","","4 [106/139]@HOSPITALITY, LEISURE, SPORT & TOURISM 酒店、休闲、体育与旅游"
"Nagoya Journal of Medical Science","0027-7622","2186-3326","SCIE","0.8","0.9","-0.1","Q4@MEDICINE, RESEARCH & EXPERIMENTAL","医学","4 [4512/5603]","","4 [152/188]@MEDICINE, RESEARCH & EXPERIMENTAL 医学：研究与实验"
"OBETS-Revista de Ciencias Sociales","1989-1385","1989-1385","ESCI","0.8","0.7","0.1","Q3@SOCIAL SCIENCES, INTERDISCIPLINARY","社会学","4 [1780/2039]","","4 [210/263]@SOCIAL SCIENCES, INTERDISCIPLINARY 社会科学：跨领域"
"Revista de Administracao Publica","0034-7612","1982-3134","ESCI","0.8","0.8","0.0","Q3@PUBLIC ADMINISTRATION","管理学","4 [656/1025]","","4 [70/91]@PUBLIC ADMINISTRATION 公共管理"
"SALUD MENTAL","0185-3325","0186-761X","SSCI","0.8","0.8","0.0","Q4@PSYCHIATRY","","","",""
"TIDSSKRIFT FOR SAMFUNNSFORSKNING","0040-716X","1504-291X","SSCI","0.8","0.4","0.4","Q3@SOCIAL SCIENCES, INTERDISCIPLINARY","社会学","4 [1566/2039]","","4 [184/263]@SOCIAL SCIENCES, INTERDISCIPLINARY 社会科学：跨领域"
"ALDRICHIMICA ACTA","0002-5100","N/A","SCIE","0.8","0.8","0.0","Q4@CHEMISTRY, ORGANIC","","","",""
"AMERICAN MALACOLOGICAL BULLETIN","0740-2783","2162-2698","SCIE","0.8","","","Q4@MARINE & FRESHWATER BIOLOGY | Q3@ZOOLOGY","生物学","4 [998/1091]","","4 [108/118]@MARINE & FRESHWATER BIOLOGY 海洋与淡水生物学 | 4 [171/179]@ZOOLOGY 动物学"
"Annals of Pediatric Cardiology","0974-2069","0974-5149","ESCI","0.8","0.7","0.1","Q4@CARDIAC & CARDIOVASCULAR SYSTEMS","医学","4 [4072/5603]","","4 [175/223]@CARDIAC & CARDIOVASCULAR SYSTEMS 心脏和心血管系统"
"Artificial Life and Robotics","1433-5298","1614-7456","ESCI","0.8","0.8","0.0","Q4@ROBOTICS","计算机科学","4 [642/758]","","4 [40/47]@ROBOTICS 机器人学"
"Clinical Journal of Gastroenterology","1865-7257","1865-7265","ESCI","0.8","0.9","-0.1","Q4@GASTROENTEROLOGY & HEPATOLOGY","医学","4 [4302/5603]","","4 [116/143]@GASTROENTEROLOGY & HEPATOLOGY 胃肠肝病学"
"Counseling and Values","0160-7960","2161-007X","ESCI","0.8","0.5","0.3","Q4@PSYCHOLOGY, APPLIED","心理学","4 [523/657]","","4 [96/112]@PSYCHOLOGY, APPLIED 心理学：应用"
"Doklady Biochemistry and Biophysics","1607-6729","1608-3091","SCIE","0.8","0.7","0.1","Q4@BIOCHEMISTRY & MOLECULAR BIOLOGY | Q4@BIOPHYSICS","生物学","4 [1001/1091]","","4 [299/310]@BIOCHEMISTRY & MOLECULAR BIOLOGY 生化与分子生物学 | 4 [74/76]@BIOPHYSICS 生物物理"
"DOKLADY EARTH SCIENCES","1028-334X","1531-8354","SCIE","0.8","0.7","0.1","Q4@GEOSCIENCES, MULTIDISCIPLINARY","地球科学","4 [472/575]","","4 [216/258]@GEOSCIENCES, MULTIDISCIPLINARY 地球科学：综合"
"Eastern Economic Journal","0094-5056","1939-4632","ESCI","0.8","0.5","0.3","Q3@ECONOMICS","经济学","4 [539/765]","","4 [439/599]@ECONOMICS 经济学"
"Environment and Urbanization ASIA","0975-4253","0976-3546","ESCI","0.8","0.9","-0.1","Q4@ENVIRONMENTAL STUDIES","社会学","4 [1349/2039]","","4 [150/183]@ENVIRONMENTAL STUDIES 环境研究"
"International Journal of Angiology","1061-1711","1615-5939","ESCI","0.8","0.9","-0.1","Q4@PERIPHERAL VASCULAR DISEASE","医学","4 [4826/5603]","","4 [88/96]@PERIPHERAL VASCULAR DISEASE 外周血管病"
"International Journal of Information Technologies and Systems Approach","1935-570X","1935-5718","ESCI","0.8","0.9","-0.1","Q4@COMPUTER SCIENCE, INFORMATION SYSTEMS","计算机科学","4 [449/758]","","4 [163/249]@COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统"
"International Journal of Parallel Emergent and Distributed Systems","1744-5760","1744-5779","ESCI","0.8","0.7","0.1","Q4@COMPUTER SCIENCE, THEORY & METHODS","计算机科学","4 [618/758]","","4 [124/143]@COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法"
"Iranian Journal of Psychiatry and Behavioral Sciences","1735-8639","1735-9287","ESCI","0.8","0.5","0.3","Q4@PSYCHIATRY","医学","4 [4944/5603]","","4 [251/277]@PSYCHIATRY 精神病学"
"Israeli Journal of Aquaculture-Bamidgeh","0792-156X","3067-0152","SCIE","0.8","0.4","0.4","Q4@FISHERIES","","","",""
